Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
2024-04-21 14:18:27.841377,6,0,0,0
2024-04-21 14:18:28.080458,6,0,0,0
2024-04-21 14:18:28.306139,6,0,0,0
2024-04-21 14:18:28.508318,6,0,0,0
2024-04-21 14:18:28.700167,6,0,0,0
2024-04-21 14:18:28.909676,6,0,0,0
2024-04-21 14:18:29.144635,6,0,0,0
2024-04-21 14:18:29.361961,6,0,0,0
2024-04-21 14:18:29.591769,6,0,0,0
2024-04-21 14:18:29.813244,6,0,0,0
2024-04-21 14:18:30.030357,6,0,0,0
2024-04-21 14:18:30.241023,5,0,0,0
2024-04-21 14:18:30.452213,5,0,0,0
2024-04-21 14:18:30.739131,5,0,0,0
2024-04-21 14:18:30.977095,5,0,0,0
2024-04-21 14:18:31.201236,5,0,0,0
2024-04-21 14:18:31.476797,5,0,0,0
2024-04-21 14:18:31.670106,5,0,0,0
2024-04-21 14:18:31.887736,5,0,0,0
2024-04-21 14:18:32.119109,5,0,0,0
2024-04-21 14:18:32.360852,5,0,0,0
2024-04-21 14:18:32.603412,5,0,0,0
2024-04-21 14:18:32.831501,5,0,0,0
2024-04-21 14:18:33.057053,5,0,0,0
2024-04-21 14:18:33.263830,5,0,0,0
2024-04-21 14:18:33.493121,5,0,0,0
2024-04-21 14:18:33.720269,5,0,0,0
2024-04-21 14:18:34.129553,5,0,0,0
2024-04-21 14:18:34.331347,5,0,0,0
2024-04-21 14:18:34.589323,5,0,0,0
2024-04-21 14:18:34.776118,5,0,0,0
2024-04-21 14:18:34.986054,5,0,0,0
2024-04-21 14:18:35.193252,5,0,0,0
2024-04-21 14:18:35.386701,5,0,0,0
2024-04-21 14:18:35.602370,5,0,0,0
2024-04-21 14:18:35.804864,5,0,0,0
2024-04-21 14:18:36.004491,5,0,0,0
2024-04-21 14:18:36.189162,5,0,0,0
2024-04-21 14:18:36.402244,5,0,0,0
2024-04-21 14:18:36.588212,5,0,0,0
2024-04-21 14:18:36.802435,5,0,0,0
2024-04-21 14:18:36.995810,4,0,0,0
2024-04-21 14:18:37.197446,5,0,0,0
2024-04-21 14:18:37.434785,5,0,0,0
2024-04-21 14:18:37.629668,5,0,0,0
2024-04-21 14:18:37.825788,5,0,0,0
2024-04-21 14:18:38.024549,5,0,0,0
2024-04-21 14:18:38.223777,5,0,0,0
2024-04-21 14:18:38.427620,4,0,0,0
2024-04-21 14:18:38.616823,4,0,0,0
2024-04-21 14:18:38.833895,4,0,0,0
2024-04-21 14:18:39.039582,4,0,0,0
2024-04-21 14:18:39.260800,4,0,0,0
2024-04-21 14:18:39.478523,4,0,0,0
2024-04-21 14:18:39.689168,4,0,0,0
2024-04-21 14:18:39.895550,4,0,0,0
2024-04-21 14:18:40.172900,4,0,0,0
2024-04-21 14:18:40.340962,4,0,0,0
2024-04-21 14:18:40.531017,4,0,0,0
2024-04-21 14:18:40.725171,4,0,0,0
2024-04-21 14:18:40.922069,4,0,0,0
2024-04-21 14:18:41.124888,4,0,0,0
2024-04-21 14:18:41.328495,4,0,0,0
2024-04-21 14:18:41.521168,4,0,0,0
2024-04-21 14:18:41.723341,4,0,0,0
2024-04-21 14:18:41.922931,4,0,0,0
2024-04-21 14:18:42.130583,4,0,0,0
2024-04-21 14:18:42.318510,4,0,0,0
2024-04-21 14:18:42.536866,4,0,0,0
2024-04-21 14:18:42.732888,4,0,0,0
2024-04-21 14:18:42.934633,4,0,0,0
2024-04-21 14:18:43.126994,4,0,0,0
2024-04-21 14:18:43.319477,4,0,0,1
2024-04-21 14:18:43.540335,4,0,0,0
2024-04-21 14:18:43.743022,4,0,0,0
2024-04-21 14:18:44.292148,4,0,0,0
2024-04-21 14:18:44.490764,4,0,0,0
2024-04-21 14:18:44.692090,4,0,0,0
2024-04-21 14:18:44.880866,4,0,0,1
2024-04-21 14:18:45.084606,4,0,0,0
2024-04-21 14:18:45.289464,4,0,0,0
2024-04-21 14:18:45.491941,4,0,0,0
2024-04-21 14:18:45.702756,4,0,0,0
2024-04-21 14:18:45.888069,4,0,0,0
2024-04-21 14:18:46.070093,4,0,0,0
2024-04-21 14:18:46.244828,4,0,0,0
2024-04-21 14:18:46.419831,4,0,0,0
2024-04-21 14:18:46.613525,5,0,0,0
2024-04-21 14:18:46.817773,4,0,0,0
2024-04-21 14:18:47.035663,3,0,0,0
2024-04-21 14:18:47.225074,3,0,0,0
2024-04-21 14:18:47.408505,3,0,0,0
2024-04-21 14:18:47.633910,3,0,0,0
2024-04-21 14:18:47.847721,3,0,0,0
2024-04-21 14:18:48.006622,4,0,0,0
2024-04-21 14:18:48.184033,4,0,0,0
2024-04-21 14:18:48.365675,4,0,0,0
2024-04-21 14:18:48.549513,3,0,0,0
2024-04-21 14:18:48.752582,3,0,0,0
2024-04-21 14:18:48.961168,3,0,0,0
2024-04-21 14:18:49.183300,3,0,0,0
2024-04-21 14:18:49.437847,3,0,0,0
2024-04-21 14:18:49.645560,3,0,0,0
2024-04-21 14:18:49.854128,4,0,0,0
2024-04-21 14:18:50.062269,4,0,0,0
2024-04-21 14:18:50.328356,4,0,0,0
2024-04-21 14:18:50.502029,4,0,0,0
2024-04-21 14:18:50.715064,4,0,0,0
2024-04-21 14:18:51.020198,4,0,0,0
2024-04-21 14:18:51.180724,4,0,0,0
2024-04-21 14:18:51.384487,4,0,0,0
2024-04-21 14:18:51.621648,5,0,0,0
2024-04-21 14:18:51.826302,5,0,0,0
2024-04-21 14:18:52.025017,5,0,0,0
2024-04-21 14:18:52.240170,5,0,0,0
2024-04-21 14:18:52.482443,5,0,0,0
2024-04-21 14:18:52.712367,5,0,0,0
2024-04-21 14:18:52.930613,5,0,0,0
2024-04-21 14:18:53.162018,5,0,0,0
2024-04-21 14:18:53.420893,5,0,0,0
2024-04-21 14:18:53.616926,5,0,0,0
2024-04-21 14:18:53.835710,5,0,0,0
2024-04-21 14:18:54.061540,5,0,0,0
2024-04-21 14:18:54.302651,5,0,0,0
